fpr,tpr,threshold
0.16597510373443983,0.8403361344537815,0.202
0.17219917012448133,0.8403361344537815,0.2
0.17427385892116182,0.8403361344537815,0.198
0.18672199170124482,0.8403361344537815,0.194
0.1970954356846473,0.8403361344537815,0.192
0.1991701244813278,0.8487394957983193,0.19
0.21161825726141079,0.8571428571428571,0.188
0.21161825726141079,0.865546218487395,0.186
0.21784232365145229,0.8907563025210085,0.184
0.21991701244813278,0.8907563025210085,0.178
0.22614107883817428,0.8991596638655462,0.174
0.23029045643153526,0.8991596638655462,0.172
0.23236514522821577,0.8991596638655462,0.17
0.23443983402489627,0.9159663865546218,0.168
0.24273858921161826,0.9159663865546218,0.166
0.25311203319502074,0.9159663865546218,0.164
0.26556016597510373,0.9159663865546218,0.16
0.2821576763485477,0.9327731092436975,0.158
0.2966804979253112,0.9411764705882353,0.156
0.2987551867219917,0.9411764705882353,0.154
0.3029045643153527,0.9411764705882353,0.152
0.3091286307053942,0.9663865546218487,0.15
0.3153526970954357,0.9663865546218487,0.148
0.31742738589211617,0.9663865546218487,0.146
0.3236514522821577,0.9663865546218487,0.144
0.3278008298755187,0.9663865546218487,0.142
0.34232365145228216,0.9747899159663865,0.14
0.35269709543568467,0.9747899159663865,0.138
0.35684647302904565,0.9747899159663865,0.134
0.36721991701244816,0.9747899159663865,0.132
0.37136929460580914,0.9747899159663865,0.13
0.3817427385892116,0.9747899159663865,0.128
0.3962655601659751,0.9747899159663865,0.126
0.4066390041493776,0.9747899159663865,0.124
0.4170124481327801,0.9831932773109243,0.122
0.42323651452282157,0.9831932773109243,0.12
0.4315352697095436,0.9831932773109243,0.118
0.43775933609958506,0.9831932773109243,0.116
0.45435684647302904,0.9831932773109243,0.114
0.46473029045643155,0.9831932773109243,0.112
0.47717842323651455,0.9831932773109243,0.11
0.483402489626556,0.9831932773109243,0.108
0.4854771784232365,0.9915966386554622,0.106
0.5103734439834025,0.9915966386554622,0.102
0.5186721991701245,0.9915966386554622,0.098
0.529045643153527,0.9915966386554622,0.096
0.5394190871369294,1.0,0.094
0.5456431535269709,1.0,0.092
0.558091286307054,1.0,0.09
0.578838174273859,1.0,0.088
0.5933609958506224,1.0,0.086
0.6141078838174274,1.0,0.084
0.6265560165975104,1.0,0.082
0.6431535269709544,1.0,0.08
0.6514522821576764,1.0,0.078
0.6618257261410788,1.0,0.076
0.6804979253112033,1.0,0.074
0.6970954356846473,1.0,0.072
0.7074688796680498,1.0,0.07
0.7157676348547718,1.0,0.068
0.7261410788381742,1.0,0.066
0.7427385892116183,1.0,0.064
0.7551867219917012,1.0,0.062
0.7634854771784232,1.0,0.06
0.7759336099585062,1.0,0.058
0.7821576763485477,1.0,0.056
0.7987551867219918,1.0,0.054
0.8070539419087137,1.0,0.052
0.8132780082987552,1.0,0.05
0.8236514522821576,1.0,0.048
0.8402489626556017,1.0,0.046
0.8526970954356846,1.0,0.044
0.8692946058091287,1.0,0.042
0.8713692946058091,1.0,0.04
0.8838174273858921,1.0,0.038
0.8921161825726142,1.0,0.036
0.9066390041493776,1.0,0.034
0.91701244813278,1.0,0.032
0.9232365145228216,1.0,0.03
0.9273858921161826,1.0,0.028
0.9481327800829875,1.0,0.024
0.9647302904564315,1.0,0.02
0.9771784232365145,1.0,0.016
0.9896265560165975,1.0,0.014
0.991701244813278,1.0,0.012
0.995850622406639,1.0,0.01
1.0,1.0,0.004
